,Time,House,School,Health_center,Church,Water_pump,Class_name
160,20130107:1607,0.221,0.85,0.85,1.0,1.0,1
161,20130107:1707,0.356,0.31,0.31,0.5,1.0,1
162,20130107:1807,0.667,0.15,0.15,1.0,0.71,1
163,20130107:1907,0.543,0.15,0.15,1.0,0.57,1
164,20130107:2007,0.366,0.15,0.15,0.1,0.29,1
165,20130107:2107,0.26,0.15,0.15,0.1,0.14,1
166,20130107:2207,0.162,0.15,0.15,0.1,0.14,1
167,20130107:2307,0.11,0.15,0.15,0.1,0.14,1
168,20130108:0007,0.059,0.15,0.15,0.1,0.14,1
169,20130108:0107,0.051,0.15,0.15,0.1,0.14,1
170,20130108:0207,0.051,0.15,0.15,0.1,0.14,1
171,20130108:0307,0.051,0.15,0.0,0.1,0.29,0
172,20130108:0407,0.177,0.15,0.15,0.85,0.43,1
173,20130108:0507,0.271,0.15,0.15,0.85,0.57,1
174,20130108:0607,0.298,0.46,0.46,0.5,0.71,1
175,20130108:0707,0.271,0.92,0.92,0.1,0.86,1
176,20130108:0807,0.227,0.92,0.92,0.1,1.0,1
177,20130108:0907,0.233,1.0,1.0,0.1,1.0,1
178,20130108:1007,0.268,1.0,1.0,0.1,1.0,1
179,20130108:1107,0.288,1.0,1.0,1.0,0.86,1
180,20130108:1207,0.374,1.0,1.0,1.0,0.71,1
181,20130108:1307,0.281,1.0,1.0,1.0,0.71,1
182,20130108:1407,0.226,1.0,1.0,0.5,0.86,1
183,20130108:1507,0.215,1.0,1.0,1.0,0.86,1
184,20130108:1607,0.221,0.85,0.85,1.0,1.0,1
185,20130108:1707,0.356,0.31,0.31,0.5,1.0,1
186,20130108:1807,0.667,0.15,0.15,1.0,0.71,1
187,20130108:1907,0.543,0.0,0.15,1.0,0.57,0
188,20130108:2007,0.366,0.15,0.15,0.1,0.29,1
189,20130108:2107,0.26,0.15,0.15,0.1,0.14,1
190,20130108:2207,0.162,0.15,0.15,0.1,0.14,1
191,20130108:2307,0.11,0.15,0.15,0.1,0.14,1
192,20130109:0007,0.059,0.15,0.15,0.1,0.14,1
193,20130109:0107,0.051,0.15,0.15,0.1,0.14,1
194,20130109:0207,0.051,0.15,0.15,0.1,0.14,1
195,20130109:0307,0.051,0.15,0.15,0.1,0.29,1
196,20130109:0407,0.177,0.0,0.15,0.85,0.43,0
197,20130109:0507,0.271,0.15,0.15,0.85,0.57,1
198,20130109:0607,0.298,0.46,0.46,0.5,0.71,1
199,20130109:0707,0.271,0.92,0.92,0.1,0.86,1
200,20130109:0807,0.227,0.92,0.92,0.1,1.0,1
201,20130109:0907,0.233,0.0,1.0,0.1,1.0,0
202,20130109:1007,0.268,1.0,1.0,0.1,0.0,0
203,20130109:1107,0.288,1.0,1.0,1.0,0.86,1
204,20130109:1207,0.374,1.0,1.0,1.0,0.71,1
205,20130109:1307,0.281,1.0,1.0,1.0,0.71,1
