,Time,value,Class_name
356,20130130:1107,0,1
357,20130130:1207,0,1
358,20130130:1307,0,1
359,20130130:1407,0,1
360,20130130:1507,0,1
361,20130130:1607,0,1
362,20130130:1707,0,1
363,20130130:1807,0,2
364,20130130:1907,0,2
365,20130130:2007,0,0
366,20130130:2107,0,0
367,20130130:2207,0,0
368,20130130:2307,0,0
369,20130131:0007,0,0
370,20130131:0107,0,0
371,20130131:0207,0,0
372,20130131:0307,0,0
373,20130131:0407,0,0
374,20130131:0507,0,0
375,20130131:0607,0,1
376,20130131:0707,0,1
377,20130131:0807,0,1
378,20130131:0907,0,1
379,20130131:1007,0,1
380,20130131:1107,0,1
381,20130131:1207,0,1
382,20130131:1307,0,1
383,20130131:1407,0,1
384,20130131:1507,0,1
385,20130131:1607,0,1
386,20130131:1707,0,1
387,20130131:1807,0,2
388,20130131:1907,0,2
389,20130131:2007,0,0
390,20130131:2107,0,0
391,20130131:2207,0,0
392,20130131:2307,0,0
393,20130201:0007,0,0
394,20130201:0107,0,0
395,20130201:0207,0,0
396,20130201:0307,0,0
397,20130201:0407,0,0
398,20130201:0507,0,0
399,20130201:0607,0,1
400,20130201:0707,0,1
401,20130201:0807,0,1
402,20130201:0907,0,1
403,20130201:1007,0,1
404,20130201:1107,0,1
405,20130201:1207,0,1
406,20130201:1307,0,1
407,20130201:1407,0,1
408,20130201:1507,0,1
409,20130201:1607,0,1
410,20130201:1707,0,3
411,20130201:1807,0,2
412,20130201:1907,0,2
413,20130201:2007,0,0
414,20130201:2107,0,0
415,20130201:2207,0,0
416,20130201:2307,0,0
417,20130202:0007,0,0
418,20130202:0107,0,0
419,20130202:0207,0,0
420,20130202:0307,0,0
421,20130202:0407,0,0
422,20130202:0507,0,0
423,20130202:0607,0,1
424,20130202:0707,0,1
425,20130202:0807,0,1
426,20130202:0907,0,1
427,20130202:1007,0,1
428,20130202:1107,0,1
429,20130202:1207,0,1
430,20130202:1307,0,1
431,20130202:1407,0,1
432,20130202:1507,0,1
433,20130202:1607,0,1
434,20130202:1707,0,1
435,20130202:1807,0,2
436,20130202:1907,0,2
437,20130202:2007,0,0
438,20130202:2107,0,0
439,20130202:2207,0,0
440,20130202:2307,0,0
441,20130203:0007,0,0
442,20130203:0107,0,0
443,20130203:0207,0,0
444,20130203:0307,0,0
445,20130203:0407,0,0
446,20130203:0507,0,0
447,20130203:0607,0,1
448,20130203:0707,0,1
449,20130203:0807,0,1
450,20130203:0907,0,1
451,20130203:1007,0,1
452,20130203:1107,0,1
453,20130203:1207,0,1
454,20130203:1307,0,1
455,20130203:1407,0,1
456,20130203:1507,0,1
457,20130203:1607,0,1
458,20130203:1707,0,1
459,20130203:1807,0,2
460,20130203:1907,0,2
461,20130203:2007,0,0
462,20130203:2107,0,0
463,20130203:2207,0,0
464,20130203:2307,0,0
465,20130204:0007,0,0
466,20130204:0107,0,0
467,20130204:0207,0,0
468,20130204:0307,0,0
469,20130204:0407,0,0
470,20130204:0507,0,0
471,20130204:0607,0,1
472,20130204:0707,0,1
473,20130204:0807,0,1
474,20130204:0907,0,1
475,20130204:1007,0,1
476,20130204:1107,0,1
477,20130204:1207,0,1
478,20130204:1307,0,1
479,20130204:1407,0,1
480,20130204:1507,0,1
481,20130204:1607,0,1
482,20130204:1707,0,1
483,20130204:1807,0,3
484,20130204:1907,0,2
485,20130204:2007,0,0
486,20130204:2107,0,0
487,20130204:2207,0,0
488,20130204:2307,0,0
489,20130205:0007,0,0
490,20130205:0107,0,0
491,20130205:0207,0,0
492,20130205:0307,0,0
493,20130205:0407,0,0
494,20130205:0507,0,0
495,20130205:0607,0,1
496,20130205:0707,0,1
497,20130205:0807,0,1
498,20130205:0907,0,1
499,20130205:1007,0,1
500,20130205:1107,0,1
501,20130205:1207,0,1
502,20130205:1307,0,1
503,20130205:1407,0,1
504,20130205:1507,0,1
505,20130205:1607,0,1
506,20130205:1707,0,1
507,20130205:1807,0,2
508,20130205:1907,0,2
509,20130205:2007,0,0
510,20130205:2107,0,0
511,20130205:2207,0,0
512,20130205:2307,0,0
513,20130206:0007,0,0
514,20130206:0107,0,0
515,20130206:0207,0,0
516,20130206:0307,0,0
517,20130206:0407,0,0
518,20130206:0507,0,0
519,20130206:0607,0,1
520,20130206:0707,0,1
521,20130206:0807,0,1
522,20130206:0907,0,1
523,20130206:1007,0,1
524,20130206:1107,0,1
525,20130206:1207,0,1
526,20130206:1307,0,1
527,20130206:1407,0,1
528,20130206:1507,0,1
529,20130206:1607,0,1
530,20130206:1707,0,1
531,20130206:1807,0,2
532,20130206:1907,0,2
533,20130206:2007,0,0
534,20130206:2107,0,0
535,20130206:2207,0,0
536,20130206:2307,0,0
537,20130207:0007,0,0
538,20130207:0107,0,0
539,20130207:0207,0,0
540,20130207:0307,0,0
541,20130207:0407,0,0
542,20130207:0507,0,0
543,20130207:0607,0,1
544,20130207:0707,0,1
545,20130207:0807,0,1
546,20130207:0907,0,1
547,20130207:1007,0,3
548,20130207:1107,0,1
549,20130207:1207,0,1
550,20130207:1307,0,1
551,20130207:1407,0,1
552,20130207:1507,0,1
553,20130207:1607,0,1
554,20130207:1707,0,1
555,20130207:1807,0,2
556,20130207:1907,0,2
557,20130207:2007,0,0
558,20130207:2107,0,0
559,20130207:2207,0,0
560,20130207:2307,0,0
561,20130208:0007,0,0
562,20130208:0107,0,0
563,20130208:0207,0,0
564,20130208:0307,0,0
565,20130208:0407,0,0
566,20130208:0507,0,0
567,20130208:0607,0,1
568,20130208:0707,0,1
569,20130208:0807,0,1
570,20130208:0907,0,1
571,20130208:1007,0,1
572,20130208:1107,0,1
573,20130208:1207,0,1
574,20130208:1307,0,1
575,20130208:1407,0,1
576,20130208:1507,0,1
577,20130208:1607,0,1
578,20130208:1707,0,1
579,20130208:1807,0,2
580,20130208:1907,0,2
581,20130208:2007,0,0
582,20130208:2107,0,0
583,20130208:2207,0,0
584,20130208:2307,0,0
585,20130209:0007,0,0
586,20130209:0107,0,0
587,20130209:0207,0,0
588,20130209:0307,0,0
589,20130209:0407,0,0
590,20130209:0507,0,0
591,20130209:0607,0,1
592,20130209:0707,0,1
593,20130209:0807,0,1
594,20130209:0907,0,1
595,20130209:1007,0,1
596,20130209:1107,0,1
597,20130209:1207,0,1
598,20130209:1307,0,1
599,20130209:1407,0,3
600,20130209:1507,0,1
601,20130209:1607,0,1
602,20130209:1707,0,1
603,20130209:1807,0,2
604,20130209:1907,0,2
605,20130209:2007,0,0
606,20130209:2107,0,0
607,20130209:2207,0,0
608,20130209:2307,0,0
609,20130210:0007,0,0
610,20130210:0107,0,0
611,20130210:0207,0,0
612,20130210:0307,0,0
613,20130210:0407,0,0
614,20130210:0507,0,0
615,20130210:0607,0,1
616,20130210:0707,0,1
617,20130210:0807,0,1
618,20130210:0907,0,1
619,20130210:1007,0,1
620,20130210:1107,0,1
621,20130210:1207,0,1
622,20130210:1307,0,1
623,20130210:1407,0,1
624,20130210:1507,0,1
625,20130210:1607,0,1
626,20130210:1707,0,1
627,20130210:1807,0,2
628,20130210:1907,0,2
629,20130210:2007,0,0
630,20130210:2107,0,0
631,20130210:2207,0,0
632,20130210:2307,0,0
633,20130211:0007,0,0
634,20130211:0107,0,0
635,20130211:0207,0,0
636,20130211:0307,0,0
637,20130211:0407,0,0
638,20130211:0507,0,0
639,20130211:0607,0,1
640,20130211:0707,0,1
641,20130211:0807,0,1
642,20130211:0907,0,1
643,20130211:1007,0,1
644,20130211:1107,0,1
645,20130211:1207,0,1
646,20130211:1307,0,1
647,20130211:1407,0,1
648,20130211:1507,0,1
649,20130211:1607,0,1
650,20130211:1707,0,1
651,20130211:1807,0,2
652,20130211:1907,0,2
653,20130211:2007,0,0
654,20130211:2107,0,0
655,20130211:2207,0,0
656,20130211:2307,0,0
657,20130212:0007,0,0
658,20130212:0107,0,0
659,20130212:0207,0,0
660,20130212:0307,0,0
661,20130212:0407,0,0
662,20130212:0507,0,0
663,20130212:0607,0,1
664,20130212:0707,0,1
665,20130212:0807,0,1
666,20130212:0907,0,1
667,20130212:1007,0,1
668,20130212:1107,0,1
669,20130212:1207,0,1
670,20130212:1307,0,1
671,20130212:1407,0,1
672,20130212:1507,0,1
673,20130212:1607,0,1
674,20130212:1707,0,1
675,20130212:1807,0,2
676,20130212:1907,0,2
677,20130212:2007,0,0
678,20130212:2107,0,0
679,20130212:2207,0,0
680,20130212:2307,0,0
681,20130213:0007,0,0
682,20130213:0107,0,0
683,20130213:0207,0,0
684,20130213:0307,0,0
685,20130213:0407,0,0
686,20130213:0507,0,0
687,20130213:0607,0,1
688,20130213:0707,0,1
689,20130213:0807,0,1
690,20130213:0907,0,1
691,20130213:1007,0,1
692,20130213:1107,0,1
693,20130213:1207,0,1
694,20130213:1307,0,1
695,20130213:1407,0,1
696,20130213:1507,0,1
697,20130213:1607,0,1
698,20130213:1707,0,1
699,20130213:1807,0,2
700,20130213:1907,0,2
701,20130213:2007,0,0
702,20130213:2107,0,0
703,20130213:2207,0,0
704,20130213:2307,0,0
705,20130214:0007,0,0
706,20130214:0107,0,0
707,20130214:0207,0,0
708,20130214:0307,0,0
709,20130214:0407,0,0
710,20130214:0507,0,0
711,20130214:0607,0,1
712,20130214:0707,0,1
713,20130214:0807,0,1
714,20130214:0907,0,1
715,20130214:1007,0,1
716,20130214:1107,0,1
717,20130214:1207,0,1
718,20130214:1307,0,1
719,20130214:1407,0,1
720,20130214:1507,0,1
721,20130214:1607,0,1
722,20130214:1707,0,1
723,20130214:1807,0,2
724,20130214:1907,0,2
725,20130214:2007,0,0
726,20130214:2107,0,0
727,20130214:2207,0,0
728,20130214:2307,0,0
729,20130215:0007,0,0
730,20130215:0107,0,0
731,20130215:0207,0,0
732,20130215:0307,0,0
733,20130215:0407,0,0
734,20130215:0507,0,0
735,20130215:0607,0,1
736,20130215:0707,0,1
737,20130215:0807,0,1
738,20130215:0907,0,1
739,20130215:1007,0,1
740,20130215:1107,0,1
741,20130215:1207,0,1
742,20130215:1307,0,1
743,20130215:1407,0,1
744,20130215:1507,0,1
745,20130215:1607,0,1
746,20130215:1707,0,1
747,20130215:1807,0,2
748,20130215:1907,0,2
749,20130215:2007,0,0
750,20130215:2107,0,0
751,20130215:2207,0,0
752,20130215:2307,0,0
753,20130216:0007,0,0
754,20130216:0107,0,0
755,20130216:0207,0,0
756,20130216:0307,0,0
757,20130216:0407,0,0
758,20130216:0507,0,0
759,20130216:0607,0,1
760,20130216:0707,0,1
761,20130216:0807,0,1
762,20130216:0907,0,1
763,20130216:1007,0,1
764,20130216:1107,0,1
765,20130216:1207,0,1
766,20130216:1307,0,1
767,20130216:1407,0,1
768,20130216:1507,0,1
769,20130216:1607,0,1
770,20130216:1707,0,1
771,20130216:1807,0,2
772,20130216:1907,0,2
773,20130216:2007,0,0
774,20130216:2107,0,0
775,20130216:2207,0,0
776,20130216:2307,0,0
777,20130217:0007,0,0
778,20130217:0107,0,0
779,20130217:0207,0,0
780,20130217:0307,0,0
781,20130217:0407,0,0
782,20130217:0507,0,0
783,20130217:0607,0,3
784,20130217:0707,0,1
785,20130217:0807,0,1
786,20130217:0907,0,1
787,20130217:1007,0,1
788,20130217:1107,0,1
789,20130217:1207,0,1
790,20130217:1307,0,1
791,20130217:1407,0,1
792,20130217:1507,0,1
793,20130217:1607,0,1
794,20130217:1707,0,1
795,20130217:1807,0,2
796,20130217:1907,0,2
797,20130217:2007,0,0
798,20130217:2107,0,0
799,20130217:2207,0,0
800,20130217:2307,0,0
801,20130218:0007,0,0
802,20130218:0107,0,0
803,20130218:0207,0,0
804,20130218:0307,0,0
805,20130218:0407,0,0
806,20130218:0507,0,0
807,20130218:0607,0,1
808,20130218:0707,0,1
809,20130218:0807,0,3
810,20130218:0907,0,1
811,20130218:1007,0,1
812,20130218:1107,0,1
813,20130218:1207,0,1
814,20130218:1307,0,1
815,20130218:1407,0,1
816,20130218:1507,0,1
817,20130218:1607,0,1
818,20130218:1707,0,1
819,20130218:1807,0,2
820,20130218:1907,0,2
821,20130218:2007,0,0
822,20130218:2107,0,0
823,20130218:2207,0,0
824,20130218:2307,0,0
825,20130219:0007,0,0
826,20130219:0107,0,0
827,20130219:0207,0,0
828,20130219:0307,0,0
829,20130219:0407,0,0
830,20130219:0507,0,0
831,20130219:0607,0,1
832,20130219:0707,0,1
833,20130219:0807,0,1
834,20130219:0907,0,1
835,20130219:1007,0,1
836,20130219:1107,0,1
837,20130219:1207,0,3
838,20130219:1307,0,3
839,20130219:1407,0,1
840,20130219:1507,0,1
841,20130219:1607,0,1
842,20130219:1707,0,1
843,20130219:1807,0,2
844,20130219:1907,0,2
845,20130219:2007,0,0
846,20130219:2107,0,0
847,20130219:2207,0,0
848,20130219:2307,0,0
849,20130220:0007,0,0
850,20130220:0107,0,0
851,20130220:0207,0,0
852,20130220:0307,0,0
853,20130220:0407,0,0
854,20130220:0507,0,0
855,20130220:0607,0,1
856,20130220:0707,0,1
857,20130220:0807,0,1
858,20130220:0907,0,1
859,20130220:1007,0,1
860,20130220:1107,0,1
861,20130220:1207,0,1
862,20130220:1307,0,1
863,20130220:1407,0,1
864,20130220:1507,0,1
865,20130220:1607,0,1
866,20130220:1707,0,1
867,20130220:1807,0,2
868,20130220:1907,0,2
869,20130220:2007,0,0
870,20130220:2107,0,0
871,20130220:2207,0,0
872,20130220:2307,0,0
873,20130221:0007,0,0
874,20130221:0107,0,0
875,20130221:0207,0,0
876,20130221:0307,0,0
877,20130221:0407,0,0
878,20130221:0507,0,0
879,20130221:0607,0,1
880,20130221:0707,0,1
881,20130221:0807,0,1
882,20130221:0907,0,1
883,20130221:1007,0,1
884,20130221:1107,0,1
885,20130221:1207,0,1
886,20130221:1307,0,1
887,20130221:1407,0,1
888,20130221:1507,0,1
889,20130221:1607,0,1
890,20130221:1707,0,1
891,20130221:1807,0,2
892,20130221:1907,0,2
893,20130221:2007,0,0
894,20130221:2107,0,0
895,20130221:2207,0,0
896,20130221:2307,0,0
897,20130222:0007,0,0
898,20130222:0107,0,0
899,20130222:0207,0,0
900,20130222:0307,0,0
901,20130222:0407,0,0
902,20130222:0507,0,0
903,20130222:0607,0,1
904,20130222:0707,0,1
905,20130222:0807,0,1
906,20130222:0907,0,1
907,20130222:1007,0,1
908,20130222:1107,0,1
909,20130222:1207,0,1
910,20130222:1307,0,1
911,20130222:1407,0,1
912,20130222:1507,0,1
913,20130222:1607,0,1
914,20130222:1707,0,1
915,20130222:1807,0,2
916,20130222:1907,0,2
917,20130222:2007,0,0
918,20130222:2107,0,0
919,20130222:2207,0,0
920,20130222:2307,0,0
921,20130223:0007,0,0
